week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
1988-10-02,18,4444772,The Phantom of the Opera,Majestic Theatre,541402,NA,41.34,NA,13096,1609,1.0174,8,0
1988-10-09,19,4793418,Cats,Winter Garden Theatre,463642,NA,39.6,NA,11709,1482,0.9876,8,0
1988-10-09,19,4793418,Les Miserables,Imperial Theatre,497938,NA,40.6,NA,12264,1752,1,7,0
1988-10-09,19,4793418,The Phantom of the Opera,Majestic Theatre,540891,NA,41.3,NA,13096,1609,1.0174,8,0
1988-10-16,20,4841921,Cats,Winter Garden Theatre,483661,NA,40.47,NA,11952,1482,1.0081,8,0
1988-10-16,20,4841921,Les Miserables,Imperial Theatre,497284,NA,40.55,NA,12264,1752,1,7,0
1988-10-16,20,4841921,The Phantom of the Opera,Majestic Theatre,537003,NA,41.01,NA,13096,1609,1.0174,8,0
1988-10-23,21,4869975,Cats,Winter Garden Theatre,481344,NA,40.52,NA,11879,1482,1.0019,8,0
1988-10-23,21,4869975,Les Miserables,Imperial Theatre,496270,NA,40.47,NA,12264,1752,1,7,0
1988-10-23,21,4869975,The Phantom of the Opera,Majestic Theatre,537705,NA,41.06,NA,13096,1609,1.0174,8,0
1988-10-30,22,5010241,Cats,Winter Garden Theatre,465833,NA,39.44,NA,11812,1482,0.9963,8,0
1988-10-30,22,5010241,Les Miserables,Imperial Theatre,496385,NA,40.48,NA,12264,1752,1,7,0
1988-10-30,22,5010241,The Phantom of the Opera,Majestic Theatre,539600,NA,41.2,NA,13096,1609,1.0174,8,0
1988-11-06,23,4907940,Cats,Winter Garden Theatre,447936,NA,39.18,NA,11432,1482,0.9642,8,0
1988-11-06,23,4907940,Les Miserables,Imperial Theatre,500933,NA,40.85,NA,12264,1752,1,7,0
1988-11-06,23,4907940,The Phantom of the Opera,Majestic Theatre,542323,NA,41.41,NA,13096,1609,1.0174,8,0
1988-11-13,24,5361096,Cats,Winter Garden Theatre,453283,NA,39.72,NA,11412,1482,0.9626,8,0
1988-11-13,24,5361096,Les Miserables,Imperial Theatre,500628,NA,40.82,NA,12264,1752,1,7,0
1988-11-13,24,5361096,The Phantom of the Opera,Majestic Theatre,539072,NA,41.16,NA,13096,1609,1.0174,8,0
1988-11-20,25,5093602,Cats,Winter Garden Theatre,447568,NA,39.16,NA,11430,1482,0.9641,8,0
1988-11-20,25,5093602,Les Miserables,Imperial Theatre,497755,NA,40.59,NA,12264,1752,1,7,0
1988-11-20,25,5093602,The Phantom of the Opera,Majestic Theatre,536239,NA,40.95,NA,13096,1609,1.0174,8,0
1988-11-27,26,5882334,Cats,Winter Garden Theatre,493810,NA,42.14,NA,11717,1482,0.9883,8,0
1988-11-27,26,5882334,Les Miserables,Imperial Theatre,576192,NA,41.11,NA,14016,1752,1,8,0
1988-11-27,26,5882334,The Phantom of the Opera,Majestic Theatre,543336,NA,41.49,NA,13096,1609,1.0174,8,0
1988-12-04,27,5143016,Cats,Winter Garden Theatre,411055,NA,39.09,NA,10516,1482,0.887,8,0
1988-12-04,27,5143016,Les Miserables,Imperial Theatre,498301,NA,40.63,NA,12264,1752,1,7,0
1988-12-04,27,5143016,The Phantom of the Opera,Majestic Theatre,540207,NA,41.25,NA,13096,1609,1.0174,8,0
1988-12-11,28,5470774,Cats,Winter Garden Theatre,437615,NA,39.67,NA,11031,1482,0.9304,8,0
1988-12-11,28,5470774,Les Miserables,Imperial Theatre,491676,NA,40.09,NA,12264,1752,1,7,0
1988-12-11,28,5470774,The Phantom of the Opera,Majestic Theatre,534428,NA,40.81,NA,13096,1609,1.0174,8,0
1988-12-18,29,4879414,Cats,Winter Garden Theatre,418838,NA,39.14,NA,10701,1482,0.9026,8,0
1988-12-18,29,4879414,Les Miserables,Imperial Theatre,500440,NA,40.81,NA,12264,1752,1,7,0
1988-12-18,29,4879414,The Phantom of the Opera,Majestic Theatre,538678,NA,41.13,NA,13096,1609,1.0174,8,0
1988-12-25,30,4188079,Cats,Winter Garden Theatre,452623,NA,40.23,NA,11251,1482,0.949,8,0
1988-12-25,30,4188079,Les Miserables,Imperial Theatre,501642,NA,40.9,NA,12264,1752,1,7,0
1988-12-25,30,4188079,The Phantom of the Opera,Majestic Theatre,543107,NA,41.47,NA,13096,1609,1.0174,8,0
1989-01-01,31,7179392,Cats,Winter Garden Theatre,532044,NA,44.03,NA,12083,1482,1.0191,8,0
1989-01-01,31,7179392,Les Miserables,Imperial Theatre,606956,NA,46.35,NA,13096,1752,1,8,0
1989-01-01,31,7179392,The Phantom of the Opera,Majestic Theatre,581874,NA,44.43,NA,13096,1609,1.0174,8,0
1989-01-08,32,4712231,Cats,Winter Garden Theatre,492347,NA,41.57,NA,11844,1482,0.999,8,0
1989-01-08,32,4712231,Les Miserables,Imperial Theatre,581521,NA,41.49,NA,14016,1752,1,8,0
1989-01-08,32,4712231,The Phantom of the Opera,Majestic Theatre,549607,NA,41.97,NA,13096,1609,1.0174,8,0
1989-01-15,33,4767232,Cats,Winter Garden Theatre,442062,NA,39.11,NA,11303,1482,0.9534,8,0
1989-01-15,33,4767232,Les Miserables,Imperial Theatre,504261,NA,41.12,NA,12264,1752,1,7,0
1989-01-15,33,4767232,The Phantom of the Opera,Majestic Theatre,547716,NA,41.82,NA,13096,1609,1.0174,8,0
1989-01-22,34,4441764,Cats,Winter Garden Theatre,439157,NA,38.78,NA,11323,1482,0.955,8,0
1989-01-22,34,4441764,Les Miserables,Imperial Theatre,500640,NA,40.82,NA,12264,1752,1,7,0
1989-01-22,34,4441764,The Phantom of the Opera,Majestic Theatre,543341,NA,41.49,NA,13096,1609,1.0174,8,0
1989-01-29,35,4466566,Cats,Winter Garden Theatre,397889,NA,38.91,NA,10226,1482,0.8625,8,0
1989-01-29,35,4466566,Les Miserables,Imperial Theatre,490341,NA,39.98,NA,12264,1752,1,7,0
1989-01-29,35,4466566,The Phantom of the Opera,Majestic Theatre,548468,NA,41.88,NA,13096,1609,1.0174,8,0
1989-02-05,36,4091480,Cats,Winter Garden Theatre,381283,NA,38.28,NA,9960,1482,0.8401,8,0
1989-02-05,36,4091480,Les Miserables,Imperial Theatre,489887,NA,39.95,NA,12264,1752,1,7,0
1989-02-05,36,4091480,The Phantom of the Opera,Majestic Theatre,548499,NA,41.88,NA,13096,1609,1.0174,8,0
1989-02-12,37,4248830,Cats,Winter Garden Theatre,394297,NA,38.4,NA,10267,1482,0.866,8,0
1989-02-12,37,4248830,Les Miserables,Imperial Theatre,498862,NA,40.68,NA,12264,1752,1,7,0
1989-02-12,37,4248830,The Phantom of the Opera,Majestic Theatre,548760,NA,41.9,NA,13096,1609,1.0174,8,0
1989-02-19,38,4950658,Cats,Winter Garden Theatre,472455,NA,40.33,NA,11715,1482,0.9881,8,0
1989-02-19,38,4950658,Les Miserables,Imperial Theatre,496160,NA,40.46,NA,12264,1752,1,7,0
1989-02-19,38,4950658,The Phantom of the Opera,Majestic Theatre,546895,NA,41.76,NA,13096,1609,1.0174,8,0
1989-02-26,39,4680848,Cats,Winter Garden Theatre,476666,NA,40.77,NA,11693,1482,0.9863,8,0
1989-02-26,39,4680848,Les Miserables,Imperial Theatre,567930,NA,40.52,NA,14016,1752,1,8,0
1989-02-26,39,4680848,The Phantom of the Opera,Majestic Theatre,550664,NA,42.05,NA,13096,1609,1.0174,8,0
1989-03-05,40,4572111,Cats,Winter Garden Theatre,418195,NA,38.79,NA,10781,1482,0.9093,8,0
1989-03-05,40,4572111,Les Miserables,Imperial Theatre,551688,NA,39.36,NA,14016,1752,1,8,0
1989-03-05,40,4572111,The Phantom of the Opera,Majestic Theatre,549615,NA,41.97,NA,13096,1609,1.0174,8,0
1989-03-12,41,4839669,Cats,Winter Garden Theatre,453011,NA,39.35,NA,11513,1482,0.9711,8,0
1989-03-12,41,4839669,Les Miserables,Imperial Theatre,537565,NA,39.45,NA,13625,1752,0.9721,8,0
1989-03-12,41,4839669,The Phantom of the Opera,Majestic Theatre,546117,NA,41.7,NA,13096,1609,1.0174,8,0
1989-03-19,42,4600347,Cats,Winter Garden Theatre,466450,NA,39.42,NA,11832,1482,0.998,8,0
1989-03-19,42,4600347,The Phantom of the Opera,Majestic Theatre,548727,NA,41.9,NA,13096,1609,1.0174,8,0
1989-03-26,43,5503497,Cats,Winter Garden Theatre,459568,NA,38.18,NA,12038,1482,1.0154,8,0
1989-03-26,43,5503497,Les Miserables,Imperial Theatre,561259,NA,40.04,NA,14016,1752,1,8,0
1989-03-26,43,5503497,The Phantom of the Opera,Majestic Theatre,542398,NA,41.42,NA,13096,1609,1.0174,8,0
1989-04-02,44,5334220,Cats,Winter Garden Theatre,498853,NA,41.82,NA,11928,1482,1.0061,8,0
1989-04-02,44,5334220,Les Miserables,Imperial Theatre,562850,NA,40.07,NA,14046,1752,1.0021,8,0
1989-04-02,44,5334220,The Phantom of the Opera,Majestic Theatre,545579,NA,41.66,NA,13096,1609,1.0174,8,0
1989-04-09,45,5284342,Cats,Winter Garden Theatre,498853,NA,41.82,NA,11928,1482,1.0061,8,0
1989-04-09,45,5284342,Les Miserables,Imperial Theatre,562850,NA,40.16,NA,14016,1752,1,8,0
1989-04-09,45,5284342,The Phantom of the Opera,Majestic Theatre,545579,NA,41.66,NA,13096,1609,1.0174,8,0
1989-04-16,46,4762903,Cats,Winter Garden Theatre,449510,NA,39.24,NA,11454,1482,0.9661,8,0
1989-04-16,46,4762903,Les Miserables,Imperial Theatre,548680,NA,39.15,NA,14016,1752,1,8,0
