Date,Inverter,Energy,
7/5/2022,1,16758.0,
7/6/2022,1,16679.2,
7/7/2022,1,16787.7,
7/8/2022,1,16103.0,
7/9/2022,1,16890.6,
7/10/2022,1,16956.9,
7/11/2022,1,16491.4,
7/12/2022,1,16250.0,
7/13/2022,1,16586.7,
7/14/2022,1,16222.1,
7/15/2022,1,16399.1,
7/16/2022,1,16205.6,
7/17/2022,1,15274.9,
7/18/2022,1,10683.3,
7/19/2022,1,15928.3,
7/20/2022,1,16001.5,
7/21/2022,1,16405.4,
7/22/2022,1,16567.9,
7/23/2022,1,16307.8,
7/24/2022,1,16299.0,
7/25/2022,1,16076.7,
7/26/2022,1,15879.4,
7/27/2022,1,15085.9,
7/28/2022,1,14624.2,
7/29/2022,1,14058.0,
7/30/2022,1,13166.4,
7/31/2022,1,7769.3,
8/1/2022,1,11187.3,
8/2/2022,1,14240.8,
8/3/2022,1,14068.0,
8/4/2022,1,10738.8,
8/5/2022,1,10844.7,
8/6/2022,1,15481.4,
8/7/2022,1,15471.9,
8/8/2022,1,13835.8,
8/9/2022,1,14533.1,
8/10/2022,1,15171.3,
8/11/2022,1,15252.3,
8/12/2022,1,15287.8,
8/13/2022,1,15133.1,
8/14/2022,1,15383.8,
8/15/2022,1,14948.3,
8/16/2022,1,14415.1,
8/17/2022,1,11487.1,
8/18/2022,1,14211.2,
8/19/2022,1,14440.3,
8/20/2022,1,14252.3,
8/21/2022,1,14143.4,
8/22/2022,1,14400.9,
8/23/2022,1,14221.1,
8/24/2022,1,13386.7,
8/25/2022,1,13515.0,
8/26/2022,1,13702.4,
8/27/2022,1,12875.1,
8/28/2022,1,13800.1,
8/29/2022,1,13394.1,
8/30/2022,1,13280.8,
8/31/2022,1,13400.4,
9/1/2022,1,13267.9,
9/2/2022,1,12915.2,
9/3/2022,1,13223.6,
9/4/2022,1,12646.4,
9/5/2022,1,12078.8,
9/6/2022,1,11866.5,
9/7/2022,1,2656.8,
9/8/2022,1,10584.3,
9/9/2022,1,11374.1,
9/10/2022,1,5997.5,
9/11/2022,1,11717.9,
9/12/2022,1,13198.8,
9/13/2022,1,11603.2,
9/14/2022,1,14723.9,
9/15/2022,1,5674.1,
9/16/2022,1,17347.2,
9/17/2022,1,18404.8,
9/18/2022,1,7674.5,
9/19/2022,1,5546.3,
9/20/2022,1,18674.7,
9/21/2022,1,18155.1,
9/22/2022,1,18631.1,
9/23/2022,1,19171.4,
9/24/2022,1,18776.5,
9/25/2022,1,17671.4,
9/26/2022,1,18040.3,
9/27/2022,1,18330.5,
9/28/2022,1,18214.6,
9/29/2022,1,18154.2,
9/30/2022,1,17897.8,
10/1/2022,1,17629.3,
10/2/2022,1,17898.3,
10/3/2022,1,0.0,
10/4/2022,1,17283.3,
