year,state,id,total,DEMOCRAT,REPUBLICAN,democrat_difference,republican_difference
2020,ALABAMA,1,2323282,0.36569990212122333,0.620316431668648,-0.2546165295474247,0.2546165295474247
2020,ALASKA,2,359530,0.42771952271020497,0.5283314327038078,-0.10061190999360281,0.10061190999360281
2020,ARIZONA,4,3387326,0.49364690614366613,0.4905598103046474,0.0030870958390187275,-0.0030870958390187275
2020,ARKANSAS,5,1219069,0.34775061953014963,0.6239572985614432,-0.2762066790312936,0.2762066790312936
2020,CALIFORNIA,6,17500881,0.6348394689387351,0.3432072362528492,0.2916322326858859,-0.2916322326858859
2020,COLORADO,8,3279980,0.5501106714065329,0.4160412563491241,0.13406941505740883,-0.13406941505740883
2020,CONNECTICUT,9,1823857,0.5926073151568352,0.3918711828833072,0.200736132273528,-0.200736132273528
2020,DELAWARE,10,504346,0.5874300579364167,0.3977487677110555,0.18968129022536118,-0.18968129022536118
2020,DISTRICT OF COLUMBIA,11,344356,0.9214969392140692,0.05397321376714795,0.8675237254469212,-0.8675237254469212
2020,FLORIDA,12,11067456,0.47861450725442234,0.5121981962250404,-0.03358368897061803,0.03358368897061803
2020,GEORGIA,13,4999960,0.49473055784446274,0.492374738997912,0.002355818846550728,-0.002355818846550728
2020,HAWAII,15,579784,0.6314937976901742,0.3395471416941482,0.29194665599602604,-0.29194665599602604
2020,IDAHO,16,868014,0.33066402154803953,0.6383756483190364,-0.30771162677099684,0.30771162677099684
2020,ILLINOIS,17,6033743,0.5754164537667581,0.40553450818173725,0.16988194558502084,-0.16988194558502084
2020,INDIANA,18,3033118,0.4096167705971215,0.5702115776570512,-0.16059480705992973,0.16059480705992973
2020,IOWA,19,1700130,0.4464723285866375,0.5280019763194579,-0.0815296477328204,0.0815296477328204
2020,KANSAS,20,1372303,0.41559553538832167,0.5621251283426474,-0.14652959295432572,0.14652959295432572
2020,KENTUCKY,21,2136768,0.3615151481115404,0.6208657186929044,-0.259350570581364,0.259350570581364
2020,LOUISIANA,22,2148062,0.39851456801526214,0.5846088241400853,-0.18609425612482317,0.18609425612482317
2020,MAINE,23,828305,0.5252557934577239,0.43551228110418266,0.08974351235354122,-0.08974351235354122
2020,MARYLAND,24,3037030,0.6536066486007711,0.32150291567748757,0.33210373292328355,-0.33210373292328355
2020,MASSACHUSETTS,25,3658005,0.6512298370286536,0.3190815758863096,0.33214826114234397,-0.33214826114234397
2020,MICHIGAN,26,5539302,0.5062081829082437,0.4783729069113762,0.02783527599686747,-0.02783527599686747
2020,MINNESOTA,27,3277171,0.5239509930974001,0.4528494240916937,0.07110156900570641,-0.07110156900570641
2020,MISSISSIPPI,28,1313759,0.41057606455978607,0.5760295457538255,-0.1654534811940394,0.1654534811940394
2020,MISSOURI,29,3025962,0.4140878173618836,0.5679965577888949,-0.1539087404270113,0.1539087404270113
2020,MONTANA,30,603674,0.4054936936160908,0.5691846924002028,-0.16369099878411197,0.16369099878411197
2020,NEBRASKA,31,956383,0.39166630941787967,0.5822416333205421,-0.19057532390266246,0.19057532390266246
2020,NEVADA,32,1405376,0.5005678195728402,0.4766624732455941,0.02390534632724617,-0.02390534632724617
2020,NEW HAMPSHIRE,33,806182,0.5270782528014766,0.45356259504677604,0.07351565775470054,-0.07351565775470054
2020,NEW JERSEY,34,4549353,0.5733419675281298,0.41396523857348505,0.15937672895464478,-0.15937672895464478
2020,NEW MEXICO,35,923965,0.5428928584957222,0.43496669246129455,0.10792616603442767,-0.10792616603442767
2020,NEW YORK,36,8661735,0.603918845358349,0.3746129384009093,0.22930590695743974,-0.22930590695743974
2020,NORTH CAROLINA,37,5524802,0.4858621177736324,0.4993433248829551,-0.013481207109322657,0.013481207109322657
2020,NORTH DAKOTA,38,361819,0.31756762359080093,0.6511404873707572,-0.3335728637799563,0.3335728637799563
2020,OHIO,39,5922202,0.45239338340705026,0.5327130010087464,-0.08031961760169615,0.08031961760169615
2020,OKLAHOMA,40,1560699,0.32286174335986634,0.6537327184806295,-0.3308709751207632,0.3308709751207632
2020,OREGON,41,2374321,0.5645331865404888,0.4036724604634335,0.16086072607705526,-0.16086072607705526
2020,PENNSYLVANIA,42,6915283,0.5000849567544814,0.4884361204017247,0.011648836352756708,-0.011648836352756708
2020,RHODE ISLAND,44,516990,0.5947619876593357,0.38670380471575855,0.2080581829435772,-0.2080581829435772
2020,SOUTH CAROLINA,45,2514096,0.43416838497813925,0.5509348091719648,-0.11676642419382555,0.11676642419382555
2020,SOUTH DAKOTA,46,422609,0.3560525213613529,0.6176938967225024,-0.2616413753611495,0.2616413753611495
2020,TENNESSEE,47,3053851,0.37451434271023704,0.6066029416628381,-0.2320885989526011,0.2320885989526011
2020,TEXAS,48,11315056,0.4647900991387051,0.5205760360355265,-0.055785936896821375,0.055785936896821375
2020,UTAH,49,1488289,0.37646048583306063,0.5812983902991959,-0.2048379044661353,0.2048379044661353
2020,VERMONT,50,370968,0.6545578055250049,0.3038105712622113,0.3507472342627936,-0.3507472342627936
2020,VIRGINIA,51,4460524,0.5410951717780242,0.4399550366728214,0.10114013510520287,-0.10114013510520287
2020,WASHINGTON,53,4087631,0.5797030113530306,0.3876697774334327,0.19203323391959787,-0.19203323391959787
2020,WEST VIRGINIA,54,794652,0.29696521244519614,0.6863155192461606,-0.3893503068009645,0.3893503068009645
2020,WISCONSIN,55,3298041,0.4944953686142774,0.48822437319608825,0.006270995418189151,-0.006270995418189151
2020,WYOMING,56,278503,0.26387866557990397,0.6949978994840271,-0.43111923390412316,0.43111923390412316
