year,mean_age
2010,36.6
2011,36.666666666666664
2012,35.5
2013,38.53846153846154
2014,41.75
2015,39.75
2016,38.333333333333336
2017,39.333333333333336
2018,36.416666666666664
2019,31.307692307692307
